article,series,series-id,episode,language,category,origin,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
2000011263,Des livres tout haut,des-livres-tout-haut,"6 histoires ""J'aime pas""",fr-fr,audio-book,tunes,e90be716-4d35-4871-bb65-781a8a1e3944,https://tonies.com/fr-fr/tonie-librairie/des-livres-tout-haut/6-histoires-jaime-pas/,1,0,0,0
2000011264,L'Ours et le Soleil,lours-et-le-soleil,L'Ours et le Soleil,fr-fr,audio-book,tunes,98fd516f-2e6b-43fe-b3b2-018ada594ac9,https://tonies.com/fr-fr/tonie-librairie/lours-et-le-soleil/lours-et-le-soleil/,1,0,0,0
2000011265,Les Incollables,les-incollables,"Les Incollables, CE1",fr-fr,audio-play,tunes,5c6e12ed-e60d-4f00-9f49-3a9e7176feab,https://tonies.com/fr-fr/tonie-librairie/les-incollables/les-incollables-ce1/,1,0,0,0
2000011266,Les Vilains Petits,les-vilains-petits,Les Vilains Petits,fr-fr,audio-play,tunes,206fba52-2ae5-414c-82aa-76b72acbb6be,https://tonies.com/fr-fr/tonie-librairie/les-vilains-petits/les-vilains-petits/,1,0,0,0
2000011267,Les Incollables,les-incollables,"Les Incollables, CP",fr-fr,audio-play,tunes,83c85f47-31fe-4baa-8ee3-e28c84a6db64,https://tonies.com/fr-fr/tonie-librairie/les-incollables/les-incollables-cp/,1,0,0,0
2000011268,Le petit train Montessori de l'éveil musical,le-petit-train-montessori-de-leveil-musical,Le petit train Montessori de l'éveil musical,fr-fr,music,tunes,38865f3a-1d3b-4ffc-8437-3ecba91abd6b,https://tonies.com/fr-fr/tonie-librairie/le-petit-train-montessori-de-leveil-musical/le-petit-train-montessori-de-leveil-musical/,1,0,0,0
2000011269,Le roi Oscar,le-roi-oscar,Le roi Oscar vol. 1,fr-fr,audio-play,tunes,35759b12-d527-42d6-a4f2-4fa75fc81d79,https://tonies.com/fr-fr/tonie-librairie/le-roi-oscar/le-roi-oscar-vol-1/,1,0,0,0
2000011270,Le roi Oscar,le-roi-oscar,Le roi Oscar vol. 2,fr-fr,audio-play,tunes,2e9e1e77-72c6-400e-8a55-fa40f120b446,https://tonies.com/fr-fr/tonie-librairie/le-roi-oscar/le-roi-oscar-vol-2/,1,0,0,0
2000011271,Sonia pas de souci,sonia-pas-de-souci,Sonia pas de souci vol. 1,fr-fr,audio-play,tunes,910ab813-9402-497d-8d37-cda68e9b3426,https://tonies.com/fr-fr/tonie-librairie/sonia-pas-de-souci/sonia-pas-de-souci-vol-1/,1,0,0,0
2000011272,Sonia pas de souci,sonia-pas-de-souci,Sonia pas de souci vol. 2,fr-fr,audio-play,tunes,61b6eec3-94a3-426a-87c4-03fcd9b63657,https://tonies.com/fr-fr/tonie-librairie/sonia-pas-de-souci/sonia-pas-de-souci-vol-2/,1,0,0,0
2000011273,Popa Noël n'en fait qu'à sa tête,popa-noel-nen-fait-qua-sa-tete,Popa Noël n'en fait qu'à sa tête,fr-fr,audio-play,tunes,e7e939cb-4776-4d92-a69c-3c5d9127db62,https://tonies.com/fr-fr/tonie-librairie/popa-noel-nen-fait-qua-sa-tete/popa-noel-nen-fait-qua-sa-tete/,1,0,0,0
99-0005,Tonie Créatif,,Gulli,fr-fr,creative-tonie,stock,,,1,0,0,0
box-fr-fr-03-00000000,System sounds fr-fr,system-fr-fr,Jingle (Startup),fr-fr,system,stock,,,1,1,1,1
