article,series,series-id,episode,language,category,origin,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
11004186,D Mimigs,migros-promotion-2026,D Mimigs: Rettet de Wald,de-ch,audio-play,stock,,,1,1,0,0
11004187,D Mimigs,migros-promotion-2026,D Mimigs: Insel-Olympiade,de-ch,audio-play,stock,,,1,1,0,0
11004188,D Mimigs,migros-promotion-2026,D Mimigs: Tüftel-Duell,de-ch,audio-play,stock,,,1,1,0,0
11004189,D Mimigs,migros-promotion-2026,D Mimigs: De Super-Spielplatz,de-ch,audio-play,stock,,,1,1,0,0
11004190,D Mimigs,migros-promotion-2026,D Mimigs: Schatz ahoi,de-ch,audio-play,stock,,,1,1,1,0
11004191,D Mimigs,migros-promotion-2026,D Mimigs: Schnappet d Diebin,de-ch,audio-play,stock,,,1,1,1,0
