article,series,series-id,episode,language,category,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
10001998,Bibi Blocksberg,bibi-blocksberg,Die Junghexenbande,de-de,audio-play,f286ee22-cf0c-480d-9a73-1c470d281ee9,https://tonies.com/de-de/tonies/bibi-blocksberg/junghexenbande/,1,1,0,0
10002000,Karmas Welt,karmas-welt,Karmas Welt,de-de,audio-play-songs,f86cfd35-5809-4af6-800e-64fb0c3db67c,https://tonies.com/de-de/tonies/karmas-welt/karmas-welt/,1,1,0,0
10002001,Worldwide Tales,,West African Tales,en-us,Tonie,7907849568407,,1,0,0,0
10002003,Lieblings-Märchen,lieblings-maerchen,Der gestiefelte Kater (Neuauflage 2023),de-de,audio-book,0ffc4b6f-6711-49fd-ad6e-c33281dd6de9,https://tonies.com/de-de/tonies/lieblings-maerchen/lieblingsmarchen-der-gestiefelte-kater-neuauflage-2023/,1,0,0,0
10002008,"Billie, der Regenbogentiger",billie-der-regenbogentiger,"Billie, der Regenbogentiger",de-de,audio-play,4dad6ba1-6f2a-4a03-965a-ac8eb8deb4a9,https://tonies.com/de-de/tonies/billie-der-regenbogentiger/billie-der-regenbogentiger/,1,1,1,1
10002010,Lassie,lassie,Freunde fürs Leben,de-de,audio-play,99d572a8-a52f-49e4-bd3c-48ca8d16c86b,https://tonies.com/de-de/tonies/lassie/lassie-freunde-furs-leben/,1,0,0,0
10002011,Das kleine Böse Buch,das-kleine-boese-buch,Das kleine Böse Buch,de-de,audio-book,89af5580-62fc-4976-8556-8546ce672015,https://tonies.com/de-de/tonies/das-kleine-boese-buch/das-kleine-bse-buch/,1,1,1,1
10002016,Steiff Soft Cuddly Friends,steiff-soft-cuddly-friends,Bodo Schimpanse,de-de,audio-play,fc9b9559-ac02-4c25-9e45-6ecbaefc637b,https://tonies.com/de-de/tonies/steiff-soft-cuddly-friends/bodo-schimpanse/,1,1,1,2
10002017,Steiff Soft Cuddly Friends,steiff-soft-cuddly-friends,Dinkie Esel,de-de,audio-play,fc29bdb0-6d3c-4452-9d6e-aa2102a19b35,https://tonies.com/de-de/tonies/steiff-soft-cuddly-friends/dinkie-esel/,1,1,1,1
10002020,Conni,conni,Conni kommt in den Kindergarten/ Conni geht aufs Töpfchen,de-de,audio-play,7ae5f5da-fd73-4fa1-b365-3a360a85b515,https://tonies.com/de-de/tonies/conni/conni-kommt-in-den-kindergarten-conni-geht-aufs-toepfchen/,1,1,1,1
10002021,Conni,conni,Conni auf dem Bauernhof / Conni und das neue Baby (Neuauflage 2023),de-de,audio-play,b5e1d298-54cb-4380-b104-28d14117e847,https://tonies.com/de-de/tonies/conni/conni-auf-dem-bauernhof-conni-und-das-neue-baby/,1,0,0,0
10002022,Conni,conni,Conni backt Pizza / Conni lernt Rad fahren,de-de,audio-play,bf2b0a26-c326-43c0-ad60-1d476e3cfb69,https://tonies.com/de-de/tonies/conni/conni-backt-pizza-conni-lernt-rad-fahren/,1,0,0,0
10002023,Secret Science Club,secret-science-club,"Secret Science Club: Abwehrstark - Rund um Viren, Abwehrkräfte und Immunhelfer! mit Özlem & Ugur",de-de,audio-play,78ad5a7d-5960-4000-9234-1544289da82f,https://tonies.com/de-de/tonies/secret-science-club/secret-science-club-abwehrstark/,1,1,0,0
10002027,Steiff Soft Cuddly Friends,steiff-soft-cuddly-friends,Joshi T-Rex,de-de,audio-play,edbf9f65-7f52-476a-9529-9a2b022cd903,https://tonies.com/de-de/tonies/steiff-soft-cuddly-friends/joshi-t-rex/,1,1,1,2
10002028,Steiff Soft Cuddly Friends,steiff-soft-cuddly-friends,Unica Einhorn,de-de,audio-play,a5f0076f-21f4-4ca4-8e26-3ad1f03aefd9,https://tonies.com/de-de/tonies/steiff-soft-cuddly-friends/unica-einhorn/,1,1,1,1
10002030,The Little Engine That Could,,,en-us,Tonie,7953347248279,,1,0,0,0
10002031,European Children's Songs,,,en-us,Tonie,7912819032215,,1,0,0,0
10002041,Roald Dahl,,The Enormous Crocodile & Other Animal Stories,en-us,Tonie,8016778395799,,1,0,0,0
10002048,PAW Patrol,,Rex,en-us,Tonie,8016774168727,,1,0,0,0
10002049,PAW Patrol,,Rocky,en-us,Tonie,7927272964247,,1,0,0,0
