article,series,series-id,episode,language,category,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
11000424,Sleepy Friends,sleepy-friends,Classical Music with Sleepy Rabbit,en-gb,music,1cd2a495-cc66-4b2a-a28f-9c7b8d897225,https://tonies.com/en-gb/tonies/sleepy-friends/classical-music-with-sleepy-rabbit/,1,0,0,0
11000430,Dino Ranch,dino-ranch,Mächtig Ärger für Jon & 3 weitere Abenteuer,de-de,audio-play,6617d727-a3e3-4be6-9ec1-7004682fe20e,https://tonies.com/de-de/tonies/dino-ranch/machtig-arger-fur-jon-3-weitere-abenteuer/,1,0,0,0
11000445,Octonauts,,Peso,en-us,Tonie,8031548899479,,1,0,0,0
11000447,Planet Omar,,Accidental Trouble Magnet,en-us,Tonie,7907850649751,,1,0,0,0
11000457,Calm x tonies®,,,en-us,Tonie,7806525866135,,1,0,0,0
11000458,Calm,,,en-gb,,,,1,0,0,0
11000462,MARVEL Spidey and His Amazing Friends,marvel-spidey-and-his-amazing-friends,Spidey und seine Super-Freunde - Das Spidey Team & 3 weitere spannende Abenteuer,de-de,audio-play,fb34e8ef-b3e2-4360-b8e2-da048a87df28,https://tonies.com/de-de/tonies/marvel-spidey-and-his-amazing-friends/marvel-spidey-und-seine-super-freunde-das-spidey-team-3-weitere-spannende-abenteuer/,1,0,0,0
11000465,MARVEL Spidey and His Amazing Friends,marvel-spidey-and-his-amazing-friends,Spidey und seine Super-Freunde - Doc Ocks Superoktopus & 3 weitere spannende Abenteuer,de-de,audio-play,d0fa8fcb-072f-480b-b41c-1faa2f1d93e3,https://tonies.com/de-de/tonies/marvel-spidey-and-his-amazing-friends/spidey-und-seine-super-freunde-doc-ocks-superoktopus-3-weitere-spannende-abenteuer/,1,0,0,0
11000466,MARVEL Spidey and His Amazing Friends,marvel-spidey-and-his-amazing-friends,Spidey und seine Super-Freunde - Kobzilla & 3 weitere spannende Abenteuer,de-de,audio-play,2da830ca-4d8f-4c4a-b3cf-5d1ec5d299d4,https://tonies.com/de-de/tonies/marvel-spidey-and-his-amazing-friends/marvel-ghost-spider-dach/,1,0,0,0
11000477,Dino Ranch,dino-ranch,Dino Ranch,en-gb,audio-play,a5735a43-b5ad-4fde-b074-d0ff067f7c40,https://tonies.com/en-gb/tonies/dino-ranch/dino-ranch/,1,0,0,0
11000479,PAW Patrol,,Liberty,en-us,Tonie,8041408004247,,1,0,0,0
11000495,Paw Patrol,paw-patrol,Liberty,en-gb,audio-play,fb760b65-e2c1-4ac9-85fc-7a42def5a4ba,https://tonies.com/en-gb/tonies/paw-patrol/liberty/,1,0,0,0
11000503,La Pat' Patrouille,la-pat-patrouille,Liberty,fr-fr,audio-play,0041af69-1f3a-4432-91ce-f31baec80fdf,https://tonies.com/fr-fr/tonies/la-pat-patrouille/liberty/,1,0,0,0
11000530,PAW Patrol,paw-patrol,Liberty findet einen neuen Freund,de-de,audio-play,2fbcb41a-bd26-42d4-bfd9-b988c5aad7e1,https://tonies.com/de-de/tonies/paw-patrol/paw-patrol-liberty-findet-einen-neuen-freund/,1,1,1,1
11000540,Trolls,,Viva,en-us,Tonie,7806499094679,,1,0,0,0
11000569,Mes Comptines Préférées,mes-comptines-preferees,Les Animaux,fr-fr,music,937193cb-1373-4862-b40f-4ba2e115d24d,https://tonies.com/fr-fr/tonies/mes-comptines-preferees/les-animaux/,1,0,0,0
11000608,Spidey Et Ses Amis Extraordinaires,spidey-et-ses-amis-extraordinaires,Ghost-Spider,fr-fr,audio-play-songs,4b745f3a-0e10-42a9-990f-6c5b1ec0c8ad,https://tonies.com/fr-fr/tonies/spidey-et-ses-amis-extraordinaires/ghost-spider/,1,0,0,0
11000609,Spidey Et Ses Amis Extraordinaires,spidey-et-ses-amis-extraordinaires,Miles Morales,fr-fr,audio-play-songs,1b73316c-a179-4b6f-9e38-a773b8c3b606,https://tonies.com/fr-fr/tonies/spidey-et-ses-amis-extraordinaires/miles-morales/,1,0,0,0
11000631,Advent calendar,advent-calendar,The Little Reindeer's Christmas Wish,en-gb,audio-play,2fbcc068-b538-478b-9081-cac9565e3df9,https://tonies.com/en-gb/tonies/advent-calendar/the-little-reindeers-christmas-wish/,1,0,0,0
11000708,Clever Tonies Set,,Marine Life,en-us,Tonie,8076775293079,,1,0,0,0
11000709,Clever Tonies Set,,Kid Comedy,en-us,Tonie,8076776112279,,1,0,0,0
11000710,Clever Tonies Set,,Inventions and Innovation,en-us,Tonie,8076775555223,,1,0,0,0
11000712,Clever Tonies Set,,Gentle Giant Dinosaurs,en-us,Tonie,8076776341655,,1,0,0,0
11000782,Today with tonies,today-with-tonies,tonies® Podcast,en-gb,audio-play,a742a774-63b0-450f-8303-6552b3c99bc9,https://tonies.com/en-gb/tonies/today-with-tonies/today-with-tonies/,1,0,0,0
99-0001,Kreativ-Tonie,,(Platzhalter) - DE,de-de,Kreativ-Tonies,,,1,1,0,0
99-0002,Creative-Tonie,,Creativ-Tonie (DUMMY) - UK,en-gb,Creative-Tonies,,,1,1,0,0
99-0003,Creative-Tonie,,Creativ-Tonie (DUMMY) - US,en-gb,Creative-Tonies,,,1,1,0,0
99-0004,Kreativ-Tonie,,GESPERRT in einem anderen Haushalt,de-de,Kreativ-Tonies,,,1,0,0,0
box-de-de-01-00000000,,,,,,,,1,1,1,1
box-de-de-01-00000007,,,,,,,,1,1,1,1
box-de-de-01-00000008,,,,,,,,1,1,1,1
box-de-de-01-0000000A,,,,,,,,1,1,1,1
box-de-de-01-00000011,,,,,,,,1,1,1,1
box-en-gb-00-00000000,,,,,,,,1,1,1,1
box-en-gb-00-00000001,,,,,,,,1,1,1,1
box-en-gb-00-00000002,,,,,,,,1,1,1,1
box-en-gb-00-00000003,,,,,,,,1,1,1,1
box-en-gb-00-00000006,,,,,,,,1,1,1,1
box-en-gb-00-00000007,,,,,,,,1,1,1,1
box-en-gb-00-00000008,,,,,,,,1,1,1,1
box-en-gb-00-00000009,,,,,,,,1,1,1,1
box-en-gb-00-0000000A,,,,,,,,1,1,1,1
box-en-gb-00-0000000B,,,,,,,,1,1,1,1
box-en-gb-00-0000000D,,,,,,,,1,1,1,1
box-en-gb-00-0000000E,,,,,,,,1,1,1,1
box-en-gb-00-0000000F,,,,,,,,1,1,1,1
box-en-gb-00-00000010,,,,,,,,1,1,1,1
box-en-gb-00-00000011,,,,,,,,1,1,1,1
box-en-gb-00-00000012,,,,,,,,1,1,1,1
box-en-gb-00-00000013,,,,,,,,1,1,1,1
box-en-gb-00-00000014,,,,,,,,1,1,1,1
box-en-gb-00-00000015,,,,,,,,1,1,1,1
box-en-gb-00-00000016,,,,,,,,1,1,1,1
box-en-gb-00-00000017,,,,,,,,1,1,1,1
box-en-gb-00-00000018,,,,,,,,1,1,1,1
box-en-us-02-00000000,,,,,,,,1,1,1,1
box-en-us-02-00000001,,,,,,,,1,1,1,1
box-en-us-02-00000002,,,,,,,,1,1,1,1
box-en-us-02-00000003,,,,,,,,1,1,1,1
box-en-us-02-00000006,,,,,,,,1,1,1,1
box-en-us-02-00000007,,,,,,,,1,1,1,1
box-en-us-02-00000008,,,,,,,,1,1,1,1
box-en-us-02-00000009,,,,,,,,1,1,1,1
box-en-us-02-0000000A,,,,,,,,1,1,1,1
box-en-us-02-0000000B,,,,,,,,1,1,1,1
box-en-us-02-0000000D,,,,,,,,1,1,1,1
box-en-us-02-0000000E,,,,,,,,1,1,1,1
box-en-us-02-0000000F,,,,,,,,1,1,1,1
box-en-us-02-00000010,,,,,,,,1,1,1,1
box-en-us-02-00000011,,,,,,,,1,1,1,1
box-en-us-02-00000012,,,,,,,,1,1,1,1
box-en-us-02-00000013,,,,,,,,1,1,1,1
box-en-us-02-00000014,,,,,,,,1,1,1,1
box-en-us-02-00000015,,,,,,,,1,1,1,1
box-en-us-02-00000016,,,,,,,,1,1,1,1
box-en-us-02-00000017,,,,,,,,1,1,1,1
box-en-us-02-00000018,,,,,,,,1,1,1,1
box-fr-fr-03-00000000,,,,,,,,1,1,1,1
box-fr-fr-03-00000001,,,,,,,,1,1,1,1
box-fr-fr-03-00000002,,,,,,,,1,1,1,1
box-fr-fr-03-00000003,,,,,,,,1,1,1,1
box-fr-fr-03-00000006,,,,,,,,1,1,1,1
box-fr-fr-03-00000007,,,,,,,,1,1,1,1
box-fr-fr-03-00000008,,,,,,,,1,1,1,1
box-fr-fr-03-00000009,,,,,,,,1,1,1,1
box-fr-fr-03-0000000A,,,,,,,,1,1,1,1
box-fr-fr-03-0000000B,,,,,,,,1,1,1,1
box-fr-fr-03-0000000D,,,,,,,,1,1,1,1
box-fr-fr-03-0000000E,,,,,,,,1,1,1,1
box-fr-fr-03-0000000F,,,,,,,,1,1,1,1
box-fr-fr-03-00000010,,,,,,,,1,1,1,1
box-fr-fr-03-00000011,,,,,,,,1,1,1,1
box-fr-fr-03-00000012,,,,,,,,1,1,1,1
box-fr-fr-03-00000013,,,,,,,,1,1,1,1
box-fr-fr-03-00000014,,,,,,,,1,1,1,1
box-fr-fr-03-00000015,,,,,,,,1,1,1,1
box-fr-fr-03-00000016,,,,,,,,1,1,1,1
box-fr-fr-03-00000017,,,,,,,,1,1,1,1
box-fr-fr-03-00000018,,,,,,,,1,1,1,1
